Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot_Cases/1M_pop,Deaths/1M_pop,TotalTests,Tests/1M_pop,WHO_Region,MortalityRatio,RecoveryRatio,CasesPerPopulation,DeathsPer1M,CasesPer1M,DailyGrowthRateCases,DailyGrowthRateDeaths,DailyGrowthRateRecovered,DailyGrowthRateCases_MA7,DailyGrowthRateDeaths_MA7,DailyGrowthRateRecovered_MA7
USA,North America,331198130.0,5032179,656.0,162804.0,80.0,2576668.0,936.0,2292707.0,18296.0,15194.0,492.0,63139605.0,190640.0,Americas,3.2352585231964124,51.203822439543586,0.015193862960518527,491.56074643295847,15193.862960518527,0.013036102253119373,0.04913884179749883,0.03632598378991783,0.0,0.0,0.0
Brazil,South America,212710692.0,2917562,656.0,98644.0,80.0,2047660.0,936.0,771258.0,8318.0,13716.0,464.0,13206188.0,62085.0,Americas,3.3810421166713853,70.18394124957756,0.013716104125127852,463.7472572370739,13716.104125127853,0.0224845264642191,0.08109971209602206,0.04571071369270289,0.0,0.0,0.0
India,Asia,1381344997.0,2025409,656.0,41638.0,80.0,1377384.0,936.0,606387.0,8944.0,1466.0,30.0,22149351.0,16035.0,South-EastAsia,2.0557823135969078,68.005227586132,0.0014662586134519442,30.143085246936323,1466.2586134519443,0.0323885200470621,0.1921321869446179,0.06795490582147026,0.0,0.0,0.0
Russia,Europe,145940924.0,871894,656.0,14606.0,80.0,676357.0,936.0,180931.0,2300.0,5974.0,100.0,29716907.0,203623.0,Europe,1.675203637139377,77.5733059293905,0.005974294091765514,100.08159191865882,5974.294091765514,0.07523850376307212,0.5477201150212241,0.1383884546179015,0.0,0.0,0.0
South Africa,Africa,59381566.0,538184,656.0,9604.0,80.0,387316.0,936.0,141264.0,539.0,9063.0,162.0,3149807.0,53044.0,Africa,1.784519792487328,71.96720824104767,0.009063149328193871,161.7336935843019,9063.149328193871,0.12189139773757673,0.8329862557267805,0.2416631381094507,0.0,0.0,0.0
Mexico,North America,129066160.0,462690,6590.0,50517.0,819.0,308848.0,4140.0,103325.0,3987.0,3585.0,391.0,1056915.0,8189.0,Americas,10.918109317253451,66.75052410901468,0.0035849056019021564,391.4039125360203,3584.9056019021564,1.4242797553437507,1.6212364154641012,1.3404652126612444,0.0,0.0,0.0
Peru,South America,33016319.0,455409,656.0,20424.0,80.0,310337.0,936.0,124648.0,1426.0,13793.0,619.0,2493429.0,75521.0,Americas,4.484759853230832,68.14467873933103,0.013793451656436927,618.6031822626865,13793.451656436928,0.14404634076182068,0.39169604386995693,0.3016076072140931,0.2619093066243744,0.5308585101314574,0.31030228798668297
Chile,South America,19132514.0,366671,656.0,9889.0,80.0,340168.0,936.0,16614.0,1358.0,19165.0,517.0,1760615.0,92022.0,Americas,2.69696812674032,92.77199451279212,0.019164810228284687,516.8688234071069,19164.81022828469,0.17890697655391347,0.8089796743856811,0.2751581571458809,0.28560514581020213,0.6394072005011976,0.34442116989467764
Colombia,South America,50936262.0,357710,656.0,11939.0,80.0,192355.0,936.0,153416.0,1493.0,7023.0,234.0,1801835.0,35374.0,Americas,3.3376198596628557,53.774006877079195,0.007022698289089215,234.3909727808452,7022.698289089215,0.18338877861955213,0.6700728704246587,0.48660029632710355,0.30859146754667827,0.7235462231195743,0.4074053959853064
Spain,Europe,46756648.0,354530,656.0,28500.0,80.0,2178.0,936.0,899.0,617.0,7582.0,610.0,7064329.0,151087.0,Europe,8.038811948213127,0.614334470989761,0.0075824511628806235,609.5389900490728,7582.451162880623,0.18503370659746707,0.2807017543859649,42.97520661157025,0.33039792276816465,0.7361990184683381,6.537012782520846
Iran,Asia,84097623.0,320117,656.0,17976.0,80.0,277463.0,936.0,24678.0,4156.0,3806.0,214.0,2612763.0,31068.0,EasternMediterranean,5.615446852244648,86.67549677149292,0.003806492842253104,213.75158249121975,3806.492842253104,0.20492507426972012,0.4450378282153983,0.3373422762674663,0.34892457569768587,0.7215301203532203,6.565434757042212
UK,Europe,67922029.0,308134,656.0,46413.0,80.0,2178.0,936.0,899.0,73.0,4537.0,683.0,17515234.0,257873.0,Europe,15.06260263391901,0.7068353378724841,0.004536584147096077,683.3276432304459,4536.584147096078,0.21289439010300712,0.17236550104496584,42.97520661157025,0.36192500317846166,0.6271557268272467,12.670226681822326
Saudi Arabia,Asia,34865919.0,284226,656.0,3055.0,80.0,247089.0,936.0,34082.0,1915.0,8152.0,88.0,3635705.0,104277.0,EasternMediterranean,1.0748488878568463,86.93398914947964,0.008151972130721694,87.62138178546219,8151.972130721694,0.23080224891459614,2.618657937806874,0.37881087381469836,0.19142821654572525,0.769644515733357,12.532847490558535
